trialID,TrialNumber,FrameNumber,MousePositionX,MousePositionY,TrackingAccuracy
0,0,824,1078,536,6.420518
0,0,825,1079,536,6.485617
0,0,826,1081,536,6.430257
0,0,827,1083,536,6.404853
0,0,828,1084,536,6.442122
0,0,829,1087,536,6.444988
0,0,830,1089,536,6.509983
0,0,831,1091,536,6.603829
0,0,832,1093,536,6.725383
0,0,833,1095,536,6.873153
0,0,834,1097,536,7.045491
0,0,835,1099,536,7.240643
0,0,836,1101,536,7.456817
0,0,837,1102,536,7.186458
0,0,838,1104,536,7.3972
0,0,839,1105,536,7.133803
0,0,840,1106,536,6.905674
0,0,841,1107,536,6.71637
0,0,842,1109,536,6.862472
0,0,843,1110,536,6.681794
0,0,844,1112,536,6.820984
0,0,845,1113,536,6.649153
0,0,846,1113,536,6.407363
0,0,847,1114,536,6.411408
0,0,848,1115,536,6.463929
0,0,849,1116,536,6.563813
0,0,850,1117,536,6.708896
0,0,851,1118,536,6.896341
0,0,852,1120,536,6.744952
0,0,853,1121,536,6.940904
0,0,854,1123,536,6.782859
0,0,855,1124,536,6.987164
0,0,856,1126,536,6.822627
0,0,857,1128,536,6.683121
0,0,858,1130,536,6.570373
0,0,859,1132,536,6.485753
0,0,860,1134,536,6.430313
0,0,861,1135,536,6.505493
0,0,862,1136,536,6.627138
0,0,863,1138,536,6.527314
0,0,864,1139,537,6.110229
0,0,865,1141,537,5.993184
0,0,866,1143,537,5.906828
0,0,867,1145,537,5.85258
0,0,868,1147,537,5.831276
0,0,869,1148,537,5.86386
0,0,870,1149,537,5.948992
0,0,871,1149,537,6.441805
0,0,872,1149,538,6.889349
0,0,873,1150,538,7.251065
0,0,874,1151,538,7.63658
0,0,875,1154,538,6.69237
0,0,876,1156,538,6.440235
0,0,877,1158,538,6.209241
0,0,878,1160,538,6.001832
0,0,879,1161,538,6.268653
0,0,880,1163,538,6.054708
0,0,881,1164,538,6.329695
0,0,882,1166,538,6.109451
0,0,883,1169,538,5.575428
0,0,884,1171,537,5.916576
0,0,885,1174,537,5.847387
0,0,886,1178,537,6.503146
0,0,887,1181,537,7.257145
0,0,888,1184,536,8.613709
0,0,889,1185,536,8.250453
0,0,890,1186,536,7.909867
0,0,891,1187,536,7.595255
0,0,892,1187,536,6.883452
0,0,893,1187,536,6.475791
0,0,894,1188,536,6.416146
0,0,895,1190,536,6.45926
0,0,896,1191,536,6.409729
0,0,897,1192,536,6.408728
0,0,898,1194,536,6.405467
0,0,899,1195,536,6.414725
0,0,900,1196,536,6.472421
0,0,901,1197,536,6.577226
0,0,902,1199,536,6.490638
0,0,903,1201,536,6.433177
0,0,904,1203,536,6.405648
0,0,905,1206,536,6.526155
0,0,906,1208,536,6.625567
0,0,907,1210,536,6.752433
0,0,908,1211,536,6.596312
0,0,909,1214,536,7.082086
0,0,910,1216,536,7.281509
0,0,911,1219,536,8.067865
0,0,912,1222,536,9.017366
0,0,913,1224,535,9.803636
0,0,914,1227,535,10.85176
0,0,915,1229,535,11.19001
