trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
81,left_to_right,(-1 0),60.0,diagonal_left_down,(-1 -1),15.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
75,right_to_left,(1 0),30.0,diagonal_right_up,(1 1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
74,right_to_left,(1 0),30.0,diagonal_right_down,(1 -1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
153,right_to_left,(1 0),15.0,diagonal_left_down,(-1 -1),60.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
33,left_to_right,(-1 0),60.0,diagonal_left_down,(-1 -1),0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
164,left_to_right,(-1 0),30.0,horizontal_with,(-1 0),60.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
74,right_to_left,(1 0),30.0,diagonal_right_down,(1 -1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
13,right_to_left,(1 0),15.0,horizontal_against,(1 0),0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
19,left_to_right,(-1 0),30.0,diagonal_right_up,(1 1),0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
152,right_to_left,(1 0),15.0,diagonal_left_up,(-1 1),60.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
123,right_to_left,(1 0),30.0,diagonal_right_up,(1 1),30.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
138,right_to_left,(1 0),60.0,diagonal_right_down,(1 -1),30.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
150,left_to_right,(-1 0),15.0,vertical_up,(0 1),60.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
89,right_to_left,(1 0),60.0,diagonal_left_down,(-1 -1),15.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
69,left_to_right,(-1 0),30.0,horizontal_against,(1 0),15.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
78,right_to_left,(1 0),30.0,vertical_up,(0 1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
83,left_to_right,(-1 0),60.0,diagonal_right_up,(1 1),15.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
120,right_to_left,(1 0),30.0,diagonal_left_up,(-1 1),30.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
136,right_to_left,(1 0),60.0,diagonal_left_up,(-1 1),30.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
30,right_to_left,(1 0),30.0,vertical_up,(0 1),0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
151,left_to_right,(-1 0),15.0,vertical_down,(0 -1),60.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
55,left_to_right,(-1 0),15.0,vertical_down,(0 -1),15.0,(-1 0),6.0,(0.81 0.5),(0.77 0.5)
76,right_to_left,(1 0),30.0,horizontal_with,(-1 0),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
119,left_to_right,(-1 0),30.0,vertical_down,(0 -1),30.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
88,right_to_left,(1 0),60.0,diagonal_left_up,(-1 1),15.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
18,left_to_right,(-1 0),30.0,diagonal_right_down,(1 -1),0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
94,right_to_left,(1 0),60.0,vertical_up,(0 1),15.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
27,right_to_left,(1 0),30.0,diagonal_right_up,(1 1),0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
11,right_to_left,(1 0),15.0,diagonal_right_up,(1 1),0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
129,left_to_right,(-1 0),60.0,diagonal_left_down,(-1 -1),30.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
38,left_to_right,(-1 0),60.0,vertical_up,(0 1),0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
72,right_to_left,(1 0),30.0,diagonal_left_up,(-1 1),15.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
159,right_to_left,(1 0),15.0,vertical_down,(0 -1),60.0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
142,right_to_left,(1 0),60.0,vertical_up,(0 1),30.0,(-1 0),2.0,(0.08 0.5),(0.23 0.5)
172,right_to_left,(1 0),30.0,horizontal_with,(-1 0),60.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
128,left_to_right,(-1 0),60.0,diagonal_left_up,(-1 1),30.0,(-1 0),2.0,(0.92 0.5),(0.77 0.5)
12,right_to_left,(1 0),15.0,horizontal_with,(-1 0),0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
114,left_to_right,(-1 0),30.0,diagonal_right_down,(1 -1),30.0,(-1 0),4.0,(0.85 0.5),(0.77 0.5)
175,right_to_left,(1 0),30.0,vertical_down,(0 -1),60.0,(-1 0),4.0,(0.15 0.5),(0.23 0.5)
14,right_to_left,(1 0),15.0,vertical_up,(0 1),0,(-1 0),6.0,(0.19 0.5),(0.23 0.5)
