trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
56,right_to_left,"(1, 0)",30.0,horizontal_with,"(-1, 0)",30.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
57,right_to_left,"(1, 0)",30.0,horizontal_against,"(1, 0)",30.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
58,right_to_left,"(1, 0)",30.0,vertical_up,"(0, 1)",30.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
59,right_to_left,"(1, 0)",30.0,vertical_down,"(0, -1)",30.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
60,left_to_right,"(-1, 0)",70.0,diagonal_with,"(-1, 1)",30.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
61,left_to_right,"(-1, 0)",70.0,diagonal_against,"(1, -1)",30.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
62,left_to_right,"(-1, 0)",70.0,horizontal_with,"(-1, 0)",30.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
63,left_to_right,"(-1, 0)",70.0,horizontal_against,"(1, 0)",30.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
64,left_to_right,"(-1, 0)",70.0,vertical_up,"(0, 1)",30.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
65,left_to_right,"(-1, 0)",70.0,vertical_down,"(0, -1)",30.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
66,right_to_left,"(1, 0)",70.0,diagonal_with,"(-1, 1)",30.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
67,right_to_left,"(1, 0)",70.0,diagonal_against,"(1, -1)",30.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
68,right_to_left,"(1, 0)",70.0,horizontal_with,"(-1, 0)",30.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
69,right_to_left,"(1, 0)",70.0,horizontal_against,"(1, 0)",30.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
70,right_to_left,"(1, 0)",70.0,vertical_up,"(0, 1)",30.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
71,right_to_left,"(1, 0)",70.0,vertical_down,"(0, -1)",30.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
72,left_to_right,"(-1, 0)",15.0,diagonal_with,"(-1, 1)",70.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
73,left_to_right,"(-1, 0)",15.0,diagonal_against,"(1, -1)",70.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
74,left_to_right,"(-1, 0)",15.0,horizontal_with,"(-1, 0)",70.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
75,left_to_right,"(-1, 0)",15.0,horizontal_against,"(1, 0)",70.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
76,left_to_right,"(-1, 0)",15.0,vertical_up,"(0, 1)",70.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
77,left_to_right,"(-1, 0)",15.0,vertical_down,"(0, -1)",70.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
78,right_to_left,"(1, 0)",15.0,diagonal_with,"(-1, 1)",70.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
79,right_to_left,"(1, 0)",15.0,diagonal_against,"(1, -1)",70.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
80,right_to_left,"(1, 0)",15.0,horizontal_with,"(-1, 0)",70.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
81,right_to_left,"(1, 0)",15.0,horizontal_against,"(1, 0)",70.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
82,right_to_left,"(1, 0)",15.0,vertical_up,"(0, 1)",70.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
83,right_to_left,"(1, 0)",15.0,vertical_down,"(0, -1)",70.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
84,left_to_right,"(-1, 0)",30.0,diagonal_with,"(-1, 1)",70.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
85,left_to_right,"(-1, 0)",30.0,diagonal_against,"(1, -1)",70.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
86,left_to_right,"(-1, 0)",30.0,horizontal_with,"(-1, 0)",70.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
87,left_to_right,"(-1, 0)",30.0,horizontal_against,"(1, 0)",70.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
88,left_to_right,"(-1, 0)",30.0,vertical_up,"(0, 1)",70.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
89,left_to_right,"(-1, 0)",30.0,vertical_down,"(0, -1)",70.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
90,right_to_left,"(1, 0)",30.0,diagonal_with,"(-1, 1)",70.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
91,right_to_left,"(1, 0)",30.0,diagonal_against,"(1, -1)",70.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
92,right_to_left,"(1, 0)",30.0,horizontal_with,"(-1, 0)",70.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
93,right_to_left,"(1, 0)",30.0,horizontal_against,"(1, 0)",70.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
94,right_to_left,"(1, 0)",30.0,vertical_up,"(0, 1)",70.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
95,right_to_left,"(1, 0)",30.0,vertical_down,"(0, -1)",70.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
96,left_to_right,"(-1, 0)",70.0,diagonal_with,"(-1, 1)",70.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
97,left_to_right,"(-1, 0)",70.0,diagonal_against,"(1, -1)",70.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
98,left_to_right,"(-1, 0)",70.0,horizontal_with,"(-1, 0)",70.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
99,left_to_right,"(-1, 0)",70.0,horizontal_against,"(1, 0)",70.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
100,left_to_right,"(-1, 0)",70.0,vertical_up,"(0, 1)",70.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
101,left_to_right,"(-1, 0)",70.0,vertical_down,"(0, -1)",70.0,"(-1, 0)",2.0,"(0.95, 0.5)","(0.77, 0.5)"
102,right_to_left,"(1, 0)",70.0,diagonal_with,"(-1, 1)",70.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
103,right_to_left,"(1, 0)",70.0,diagonal_against,"(1, -1)",70.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
104,right_to_left,"(1, 0)",70.0,horizontal_with,"(-1, 0)",70.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
105,right_to_left,"(1, 0)",70.0,horizontal_against,"(1, 0)",70.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
106,right_to_left,"(1, 0)",70.0,vertical_up,"(0, 1)",70.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
107,right_to_left,"(1, 0)",70.0,vertical_down,"(0, -1)",70.0,"(-1, 0)",2.0,"(0.05, 0.5)","(0.23, 0.5)"
